id,job,gender,hhi,age,region,survived
0,law,female,41000,45,midwest,False
1,law,male,49000,43,midwest,False
2,engineer,male,110000,45,midwest,True
3,health,female,56000,23,southwest,True
4,unemployed,female,34000,43,northwest,False
5,engineer,female,86000,37,southwest,True
6,engineer,male,117000,35,central,False
7,construction,female,118000,46,southeast,False
8,unemployed,male,114000,35,midwest,False
9,law,female,91000,24,northeast,False
10,construction,male,32000,33,midwest,False
11,law,male,41000,49,southeast,False
12,engineer,male,46000,21,midwest,False
13,unemployed,female,56000,29,midwest,False
14,construction,male,96000,47,southeast,True
15,construction,male,50000,40,northeast,False
16,unemployed,male,61000,26,northwest,False
17,unemployed,female,41000,31,northeast,False
18,unemployed,female,81000,46,northwest,True
19,engineer,male,118000,24,midwest,False
20,health,female,68000,34,northeast,True
21,health,male,129000,27,northeast,False
22,unemployed,male,63000,24,southeast,False
23,law,male,60000,34,central,False
24,construction,male,116000,48,northwest,True
25,health,female,48000,47,northeast,True
26,construction,male,103000,50,southwest,True
27,unemployed,female,60000,42,northeast,True
28,law,female,111000,33,southwest,False
29,health,female,42000,36,northeast,True
30,unemployed,female,42000,26,northwest,False
31,health,female,37000,23,northwest,False
32,law,male,124000,36,northwest,False
33,law,male,110000,33,midwest,False
34,engineer,male,127000,28,northeast,True
35,health,male,31000,44,northwest,False
36,construction,male,58000,32,southwest,False
37,engineer,female,102000,21,midwest,False
38,unemployed,female,86000,42,southeast,False
39,construction,female,117000,46,midwest,True
40,engineer,female,68000,36,southwest,True
41,law,male,80000,46,midwest,True
42,unemployed,male,98000,33,central,False
43,engineer,male,73000,40,central,False
44,engineer,male,85000,27,northeast,False
45,law,female,75000,21,central,False
46,engineer,male,58000,47,midwest,False
47,health,female,116000,48,southeast,True
48,unemployed,male,112000,31,midwest,False
49,law,male,33000,46,central,True
50,health,female,101000,48,central,False
51,unemployed,female,84000,34,northwest,False
52,engineer,female,97000,24,northeast,True
53,health,female,127000,44,northeast,True
54,engineer,male,94000,21,southeast,False
55,law,male,59000,39,central,False
56,unemployed,female,40000,43,northwest,False
57,engineer,male,116000,28,northwest,False
58,engineer,male,72000,37,southeast,False
59,engineer,female,55000,47,northeast,False
60,engineer,female,99000,26,southeast,False
61,unemployed,female,91000,43,southeast,False
62,construction,female,71000,35,midwest,True
63,engineer,male,108000,36,northwest,False
64,engineer,male,95000,45,midwest,False
65,health,female,32000,37,midwest,True
66,engineer,male,82000,25,midwest,True
67,construction,male,107000,27,northeast,False
68,engineer,male,50000,35,midwest,False
69,health,male,106000,38,northeast,False
70,health,female,129000,21,midwest,False
71,law,male,92000,36,southeast,False
72,law,female,76000,23,midwest,True
73,health,male,55000,42,northwest,False
74,health,male,62000,23,southeast,True
75,health,female,76000,20,central,False
76,law,female,31000,23,northeast,True
77,engineer,male,47000,43,northeast,True
78,health,female,35000,49,southeast,True
79,health,female,50000,39,northwest,False
