id,programming,health,shopping,news,travel
0,False,True,True,True,False
1,False,False,False,True,True
2,True,False,False,True,False
3,False,True,False,True,True
4,True,False,False,True,False
5,True,False,False,True,False
6,True,False,False,False,False
7,False,False,True,True,False
8,False,True,False,True,False
9,False,False,False,True,False
10,False,True,True,False,True
11,False,False,False,True,True
12,True,True,True,True,False
13,True,False,True,True,False
14,False,False,True,True,False
15,False,False,True,True,True
16,False,True,True,False,True
17,False,True,False,True,False
18,False,True,True,True,True
19,True,True,True,False,False
20,False,True,False,True,False
21,False,True,False,True,False
22,False,True,False,True,False
23,False,True,True,False,True
24,False,False,False,True,False
25,False,True,True,False,False
26,False,True,False,True,False
27,False,True,True,True,False
28,False,False,True,False,False
29,False,True,False,False,False
30,False,True,False,False,False
31,False,True,False,True,True
32,False,False,False,True,True
33,False,False,True,False,False
34,True,True,True,False,True
35,False,True,True,True,False
36,False,True,True,True,True
37,True,True,True,False,False
38,False,False,False,True,False
39,False,True,False,True,True
40,True,False,False,True,False
41,False,True,True,True,False
42,False,True,True,False,False
43,True,True,True,True,False
44,True,False,False,False,False
45,True,True,False,True,True
46,True,False,True,False,False
47,False,True,False,True,False
48,False,False,False,True,False
49,False,False,False,True,False
50,False,True,False,False,True
51,False,False,True,True,False
52,True,False,False,False,False
53,False,True,False,True,True
54,True,False,True,True,False
55,False,False,False,False,False
56,False,True,False,False,False
57,True,False,False,True,False
58,True,False,False,True,False
59,True,True,False,False,False
60,True,False,False,True,False
61,False,False,True,True,False
62,False,True,False,True,False
63,True,False,False,True,False
64,True,False,True,True,False
65,False,True,False,True,False
66,True,True,True,True,False
67,False,False,False,True,False
68,True,False,True,True,False
69,False,True,True,False,False
70,False,True,False,False,False
71,False,False,True,True,False
72,False,False,True,True,False
73,False,True,False,True,True
74,False,True,True,True,False
75,False,True,False,True,False
76,False,True,False,True,False
77,True,False,True,True,False
78,False,True,False,True,False
79,False,True,False,True,True
80,True,False,False,True,False
81,False,False,True,True,False
82,False,False,True,False,False
83,False,False,True,True,False
84,False,True,True,True,True
85,True,True,False,True,False
86,False,False,True,True,True
87,False,False,False,False,True
88,True,False,True,False,False
89,False,False,False,True,False
90,True,True,False,True,False
91,False,True,False,True,False
92,False,True,False,True,True
93,False,True,True,False,False
94,False,False,True,True,True
95,True,True,True,True,False
96,True,False,False,True,True
97,False,False,False,True,False
98,True,True,True,True,True
99,False,True,False,True,False
100,False,True,False,True,False
101,False,False,True,True,False
102,False,True,False,True,False
103,True,False,True,False,False
104,True,False,False,True,False
105,False,False,False,False,False
106,True,True,True,True,False
107,True,True,True,True,False
108,False,True,True,True,False
109,False,False,True,False,False
110,False,False,True,False,False
111,True,False,False,True,False
112,True,True,True,False,True
113,True,True,False,True,True
114,False,True,False,True,False
115,True,False,False,True,False
116,False,False,True,True,False
117,False,False,True,True,False
118,False,False,False,True,False
119,False,True,True,False,True
120,True,False,True,True,False
121,False,True,True,True,False
122,True,False,False,False,False
123,False,True,True,True,False
124,False,False,True,True,False
125,False,True,False,True,False
126,False,True,False,True,True
127,False,True,False,False,False
128,True,True,True,True,False
129,False,True,False,True,False
130,False,True,True,True,False
131,True,True,True,True,True
132,False,True,False,True,False
133,True,False,False,True,False
134,False,True,True,False,False
135,False,True,True,True,False
136,False,False,False,True,True
137,False,False,True,True,False
138,True,True,False,True,False
139,False,True,False,True,False
140,True,False,False,False,False
141,False,True,False,True,False
142,True,True,False,False,False
143,False,False,False,True,False
144,False,False,True,True,True
145,False,True,False,True,False
146,True,True,True,True,False
147,True,True,False,True,False
148,False,True,True,False,False
149,False,False,True,True,False
150,False,True,False,True,False
151,False,True,False,True,True
152,True,False,False,False,False
153,False,True,False,True,False
154,False,True,True,True,False
155,True,False,True,False,True
156,False,True,False,False,False
157,False,True,True,True,False
158,True,True,True,True,False
159,True,True,True,False,False
160,False,False,False,True,False
161,True,True,True,False,False
162,False,True,False,True,False
163,True,False,True,True,False
164,True,True,False,True,False
165,True,False,True,False,False
166,False,False,True,True,False
167,True,False,False,True,True
168,False,True,False,True,False
169,True,False,True,True,True
170,False,False,False,False,False
171,True,True,False,False,False
172,True,False,False,False,False
173,True,True,False,False,False
174,False,True,True,True,False
175,False,False,True,True,False
176,False,True,True,False,False
177,False,False,True,True,False
178,False,True,False,False,False
179,True,False,False,True,False
180,False,True,True,False,False
181,False,True,True,True,True
182,False,False,False,True,False
183,False,True,False,True,False
184,True,False,False,True,False
185,False,True,True,True,True
186,False,True,True,False,True
187,False,True,False,True,False
188,False,False,True,False,False
189,False,True,True,True,False
190,False,False,True,True,True
191,True,True,False,False,False
192,True,True,True,True,False
193,True,True,False,False,False
194,False,False,False,True,False
195,False,False,True,True,False
196,False,False,False,False,False
197,False,False,False,True,False
198,False,False,True,False,False
199,False,True,False,True,False
200,True,False,True,True,True
201,False,False,True,True,False
202,False,False,True,True,False
203,True,False,False,True,False
204,False,True,True,True,False
205,False,True,True,True,False
206,False,True,False,True,True
207,True,False,False,False,False
208,True,False,False,False,False
209,False,False,False,False,False
210,False,False,True,True,False
211,True,False,False,False,True
212,False,True,True,True,False
213,False,False,False,True,False
214,False,False,False,True,False
215,True,False,False,True,False
216,False,True,False,True,False
217,True,False,True,False,False
218,False,True,False,True,True
219,False,True,False,True,False
220,False,True,False,True,False
221,False,True,False,True,False
222,False,False,True,True,False
223,False,True,True,False,True
224,True,True,True,True,False
225,True,True,False,True,True
226,True,True,False,False,False
227,True,False,False,True,False
228,True,True,False,True,False
229,False,False,False,True,False
230,True,False,True,False,True
231,False,True,True,True,False
232,False,True,False,False,False
233,False,True,False,True,False
234,False,False,True,True,False
235,False,False,False,False,False
236,True,False,False,False,True
